ProdName,SKU,Desc,LongDesc
Black Currant Oil 500 Mg,27381,Provides the Healthy Fats Your Body Craves,"Black currant seed oil is one of the three known and readily available sources of the important omega-6 fatty acid – gamma linolenic acid (GLA). And unlike the other two commercially available sources of GLA (evening primrose oil and borage oil), black currant seed oil also contains substantial amounts of the important omega-3 fatty acid – alpha-linolenic acid. Black currant seed oil provides an efficient and economical way of getting a range of essential fatty acids in your everyday diet."
Blood Pressure Support,19331,Synergistic Blood Pressure Support,"Blood Pressure Support supplies nutrient support for healthy blood pressure. Coleus forskohlii helps in supporting a healthy mood. Hawthorn is included for its studied benefits for healthy circulation. Magnesium and hops are added to aid in the relaxation of the central nervous system. And, Taurine supports the central nervous system and is thought to be helpful in dealing with anxiety. We use the trademark ingredient Forslean® which is the only Coleus forskohlii supported by a US patent."
Blood Pressure Support,44044,Synergistic Blood Pressure Support,"Blood Pressure Support supplies nutrient support for healthy blood pressure. Coleus forskohlii helps in supporting a healthy mood. Hawthorn is included for its studied benefits for healthy circulation. Magnesium and hops are added to aid in the relaxation of the central nervous system. And, Taurine supports the central nervous system and is thought to be helpful in dealing with anxiety. We use the trademark ingredient Forslean® which is the only Coleus forskohlii supported by a US patent."
Blood Sugar Support,37601,Comprehensive Glucose Support,"A synergistic formula containing Gymnema sylvestre standardized extract, Pterocarpus marsupium standardized extract, bitter melon extract, alpha-lipoic acid, grape extract, magnesium, Vitamin B-6, Vitamin B-1, Vitamin A, zinc, manganese, biotin, vanadium, chromium, copper and Bioperine. The product is contained in a gelatin capsule and contains no dicalcium phosphate or magnesium stearate."
Bone Guardian Caps CALMCIUM FORUMLA,25550,Includes a Revolutionary Form of Calcium,"Bone Guardian is a unique formulation of 12 vitamins, minerals, and cofactors needed by the body to maintain strong bones and joints. Because it contains a natural hydroxyapatite form of calcium, it also provides other key ingredients that comprise the organic portion of bone. Plus, it has been shown to be especially well absorbed by the body, an essential benefit, since our ability to absorb calcium and other minerals typically declines with age."
Bone Guardian Caps CALMCIUM FORUMLA,2669,Includes a Revolutionary Form of Calcium,"Bone Guardian is a unique formulation of 12 vitamins, minerals, and cofactors needed by the body to maintain strong bones and joints. Because it contains a natural hydroxyapatite form of calcium, it also provides other key ingredients that comprise the organic portion of bone. Plus, it has been shown to be especially well absorbed by the body, an essential benefit, since our ability to absorb calcium and other minerals typically declines with age."
Boswellia Extract 400Mg,47582,Pain and Inflammation Support,"Boswellia is an Ayurvedic herb that has a long history of use for supporting connective tissue and joint health. Scientific studies show that boswellia has potent anti-inflammatory properties and is very helpful for musculoskeletal pain. In fact, boswellia acts by many of the same mechanisms as pharmaceutical anti-inflammatory drugs (NSAIDs), but does not cause digestive side effects, such as gastric irritation or ulceration. Boswellia also shows promise for helping other conditions such as asthma and inflammatory bowel disease. Pathway Boswellia features a trademarked, standardized extract to provide the highest quality boswellia available."
Brain Support,19333,Supports Normal Brain Function,"This synergistic formula is designed to promote healthy brain function and help protect against cognitive decline associated with the aging process. Key ingredients include a standardized extract of gingko biloba, phosphatidylserine, l-carnitine, DHA, choline and inositol."
Brain Support,19332,Supports Normal Brain Function,"This synergistic formula is designed to promote healthy brain function and help protect against cognitive decline associated with the aging process. Key ingredients include a standardized extract of gingko biloba, phosphatidylserine, l-carnitine, DHA, choline and inositol."
Breath Freshener Peppermint,27132,Supports Fresh Breath,"A convenient herbal remedy that freshens breath and supports digestion. Studies suggest that peppermint enhances digestion by increasing saliva in the mouth. Chlorophyll, known for its deodorizing properties, also promotes fresh breath and digestion."
Bromelain 400Mg PROTEOLYTIC ENZYME,19330,High Potency Protyeolytic Enzyme,"Bromelain, obtained from the pineapple plant, exerts a wide range of therapeutic activity. It aids in digestion, has anti-inflammatory properties, relaxes smooth muscle, enhances the recovery process after surgery and injuries, and is used in cancer prevention."
Bromelain 400Mg PROTEOLYTIC ENZYME,25505,High Potency Protyeolytic Enzyme,"Bromelain, obtained from the pineapple plant, exerts a wide range of therapeutic activity. It aids in digestion, has anti-inflammatory properties, relaxes smooth muscle, enhances the recovery process after surgery and injuries, and is used in cancer prevention."
Bronchial Relief,48284,Cough and congestion support,Bronchial Relief is a Chinese herbal formula designed to support upper respiratory health. These herbs are indicated for both acute and chronic wet cough with yellow phlegm and nasal congestion.  
Buffered C W/ Citrus Bio,25504,Easy on Sensitive Stomachs,"Vitamin C plays an important role in supporting immune health. As a potent antioxidant, it also helps combat cellular damage from free radicals caused by oxidative stress. Vitamin C is also a key nutrient involved in the synthesis of collagen. Because vitamin C can cause GI upset, Buffered C is buffered with calcium and magnesium to gently deliver vitamin C as a non-acidic form. Citrus bioflavonoids are added to this formula for enhanced antioxidant support."
Buffered C-1000,2671,When Tablets are Preferred,"Each tablet contains 1,000 mg of Vitamin C from high quality calcium and magnesium ascorbates. Perfect for people who need a buffered form, which is easier on your stomach, and who prefer the convenience of tablets to a powder form."
Buffered Vitamin C Crystals,48423,Powdered non-acidic form for sensitive stomachs,"Vitamin C is a powerful antioxidant that supports cellular and vascular health. It has been shown to promote nitric oxide activity as well as to help maintain healthy platelet function. It supports the body’s defense system by enhancing white blood cell function and activity, and increasing interferon levels, antibody responses, and secretion of thymic hormones. Vitamin C also has histamine lowering properties and increases lymphocyte formation. It is also essential for the formation and maintenance of collagen and is important for joint health. Vitamin C aids in the absorption of iron and the formation of red blood cells and converts folic acid to its active forms. Pathway Buffered Vitamin C Crystals is gentle on the stomach and provides 1,000 mg per ¼ teaspoon."
Buffered Vitamin C Crystals,48422,Powdered non-acidic form for sensitive stomachs,"Vitamin C is a powerful antioxidant that supports cellular and vascular health. It has been shown to promote nitric oxide activity as well as to help maintain healthy platelet function. It supports the body’s defense system by enhancing white blood cell function and activity, and increasing interferon levels, antibody responses, and secretion of thymic hormones. Vitamin C also has histamine lowering properties and increases lymphocyte formation. It is also essential for the formation and maintenance of collagen and is important for joint health. Vitamin C aids in the absorption of iron and the formation of red blood cells and converts folic acid to its active forms. Pathway Buffered Vitamin C Crystals is gentle on the stomach and provides 1,000 mg per ¼ teaspoon."
Cardio Support,19334,Heart Healthy Nutrients,"Cardio Support contains a comprehensive combination of nutrients that support a healthy cardiovascular system. Folic acid, Vitamin B-12 and B-6 support healthy blood homocysteine levels. Green Tea extract contains a potent antioxidant, EGCG. Our Green tea extract is standardized to 50% catachins. L-Carnitine plays a role in energy production for cardio health. Grape seed under the trademarked ingredient ACTIVIN is used and complimentary heart healthy nutrients such as Hawthorn, Magnesium, Horsechestnut, Soy Isoflavone extract, Vitamin E, Vitamin C, and Niacin are also included."
Certified Organic Whole Food B-Complex,50313,,"B-vitamins are essential nutrients involved in energy production and are needed for healthy nerve, heart, brain, muscle, and other important cell and tissue function. Our Certified Organic Whole Food B-Complex provides B vitamins along with a blend of probiotics, enzymes, and organic fruits."
Certified Organic Whole Food Iron Chelate,50311,,"Iron is a mineral that has many important functions in the body. For example, it is essential for oxygen transport and energy production. Iron is also involved in hundreds of enzymatic reactions including those involving neurotransmitter synthesis, collagen synthesis, antioxidant support, and nitric oxide synthesis. Studies show that chelated forms of iron are better absorbed and lead to higher blood and tissue iron levels without some of the common GI-associated side effects. Our Certified Organic Whole Food Iron Chelate provides 18mg of amino acid chelate per tablet."
Certified Organic Whole Food Men’s Multi,50318,,"This organic whole food multivitamin is formulated specifically for men. It features a full spectrum of vitamins and minerals to support energy production and promote heart, immune, and prostate health. It also features 16 organic fruits, vegetables, and herbs, such as spinach extract, moringa, garlic, maca, and pumpkin seed."
Certified Organic Whole Food Men’s Multi,50795,,"This organic whole food multivitamin is formulated specifically for men. It features a full spectrum of vitamins and minerals to support energy production and promote heart, immune, and prostate health. It also features 16 organic fruits, vegetables, and herbs, such as spinach extract, moringa, garlic, maca, and pumpkin seed."
Certified Organic Whole Food Plant Calcium,50951,,"This comprehensive formula is designed to support strong, healthy bone structure. It features Aquamin®, a trademarked Icelandic algae that is rich in calcium, magnesium, and more than 72 other trace minerals. Aquamin® has been clinically shown to have superior bioavailability over other forms of calcium for aiding bone growth, density, and tensile strength. Other key ingredients in this formula include vitamins D3 and K2, magnesium, strontium, boron, and vanadium."
Certified Organic Whole Food Plant Calcium,50312,,"This comprehensive formula is designed to support strong, healthy bone structure. It features Aquamin®, a trademarked Icelandic algae that is rich in calcium, magnesium, and more than 72 other trace minerals. Aquamin® has been clinically shown to have superior bioavailability over other forms of calcium for aiding bone growth, density, and tensile strength. Other key ingredients in this formula include vitamins D3 and K2, magnesium, strontium, boron, and vanadium."
Certified Organic Whole Food Prenatal Multivitamin,50388,,"This prenatal multivitamin is made from nutritious organic whole foods, making it gentle on the stomach and easy to digest. It is formulated specifically for the needs of women during pre-conception and pregnancy and provides a spectrum of important vitamin and minerals. Our Organic Whole Food Prenatal Multivitamin also features 14 organic fruits, vegetables, and herbs to promote the health of both mom and baby."
Certified Organic Whole Food Prenatal Multivitamin,50387,,"This prenatal multivitamin is made from nutritious organic whole foods, making it gentle on the stomach and easy to digest. It is formulated specifically for the needs of women during pre-conception and pregnancy and provides a spectrum of important vitamin and minerals. Our Organic Whole Food Prenatal Multivitamin also features 14 organic fruits, vegetables, and herbs to promote the health of both mom and baby."
Certified Organic Whole Food Vegan D-3 Chewable,51104,,"Vitamin D provides a wide range of important health benefits. This great tasting vitamin D-3 chewable is made of 100% non-GMO plant origin and is vegan, kosher, and Halal certified. Each lozenge provides 2000 IU of cholecalciferol from trademarked organic algae VegD3® and has been extensively tested to ensure optimal absorption, efficacy, and stability.   "
Certified Organic Whole Food Vitamin D-3,51105,,"Vitamin D provides a wide range of important health benefits. This high-potency vitamin D-3 supplement is made of 100% non-GMO plant origin and is vegan, kosher, and Halal certified. Each tablet provides 5000 IU of cholecalciferol from trademarked organic algae VegD3® and has been extensively tested to ensure optimal absorption, efficacy, and stability.  "
Certified Organic Whole Food Vitamin D3,50310,,"Vitamin D plays many important roles in the body, including supporting healthy immune function, maintaining bone density and strength, and regulating mood. Our Certified Organic Whole Food Vitamin D3 features trademarked VegD3®, a highly absorbable vegan form of vitamin D, sourced from algae. Each tablet provides 2000 IU of cholecalciferol."
Certified Organic Whole Food Women’s Multi,50317,,"This organic whole food multivitamin is formulated specifically to meet women’s needs. It provides a full spectrum of vitamins and minerals, including efficacious potencies of B vitamins to support energy production and healthy hair, skin, and nails. Also included is 1000 IU of VegD3® Vitamin D for immune and bone health and iron for blood support. And this comprehensive multi features a blend of organic fruits, vegetables, and herbs, such as amla, holy basil, shitake, red clover, and red raspberry."
Certified Organic Whole Food Women’s Multi,50796,,"This organic whole food multivitamin is formulated specifically to meet women’s needs. It provides a full spectrum of vitamins and minerals, including efficacious potencies of B vitamins to support energy production and healthy hair, skin, and nails. Also included is 1000 IU of VegD3® Vitamin D for immune and bone health and iron for blood support. And this comprehensive multi features a blend of organic fruits, vegetables, and herbs, such as amla, holy basil, shitake, red clover, and red raspberry."
Chaga Mushroom Organic,51218,,"Chaga (Inonotus obliquus) has been used for centuries in Siberia and other parts of Asia as to boost immunity and improve overall health, energy, and endurance. In addition to its potent immune stimulating properties, Chaga also provides powerful antioxidant protection."
Chaste Tree,28595,Supports Progesterone Levels,"Chaste tree berry (Vitex agnus-castus) has a long history of use for gynecological concerns, such as PMS, various menstrual disorders, and menopausal complaints. Chaste tree berry helps support the female reproductive system by supporting a balance of female hormones."
Chaste Tree,23857,Supports Progesterone Levels,"Chaste tree berry (Vitex agnus-castus) has a long history of use for gynecological concerns, such as PMS, various menstrual disorders, and menopausal complaints. Chaste tree berry helps support the female reproductive system by supporting a balance of female hormones."
Chelated Zinc Elderberry Umckaloabo,48290,15 mg of zinc plus immune supportive herbs,"This antioxidant rich formula provides a blend of immune supportive ingredients, including zinc, elderberry, umkaloabo, and echinacea. During viral or bacterial challenges, this alcohol-free formula provides powerful upper respiratory support."
Cholesterol Support,19335,"Contains 6 Proven, Patented Trademarked Ingredients","This formulation contains a combination of vitamins, minerals, herbs, and other nutraceuticals, which have scientific background in supporting healthy cholesterol levels. These nutrients include: Policosanol, Guggulipids, Pantethine, Chromium, Niacin, along with Homocysteine factors (B-6, B-12 and Folic Acid). Also included in this formulation is Soy Bean extract and Plant Sterols, which have shown promising results in healthy blood lipid management. Cholesterol Support contains 6 proven, patented trademarked ingredients...ChromeMate Policosanol Plus Cholestatin SoyLife Pantesin and ACTIVIN."
Cinnamon 250 Mg,22451,Supports Healthy Glucose Levels,"Cinnulin PF is a clinically tested proprietary water soluble cinnamon extract that filters toxins found in whole cinnamon, making it safe for everyday use. It is the only extract standardized for doubly linked Type-A Polymers, shown in clinical research to have a host of health benefits, particularly those related to metabolic syndrome. Studies also support its use for healthy body composition, blood pressure, immunity, antioxidant activity, and antibacterial properties."
Citrus Bioflavonoid Complex,48417,High-potency antioxidant support,"Citrus bioflavonoids are mainly found in the edible pulp of citrus fruits and have many health promoting benefits. For example, they assist in the absorption of vitamin C, support blood vessel health, scavenge free radicals, have anti-inflammatory and neuroprotective properties, and have been shown to inhibit certain cancer cells. Pathway Citrus Bioflavonoid Complex features a spectrum of powerful compounds including, eriocitrin, narirutin, naringen, hesperidin, diosmin, didymin, and hesperitin. Each tablet provides 1,000 mg of citrus bioflavonoids."
CLA 1250MG,105,Supports fat loss & lean muscle tissue,"CLA is the conjugated form of linoleic acid and it has been the subject of numerous studies which have shown that it supports lean muscle mass and body fat reduction. It is naturally derived from safflower oil and is composed of 80% Cis 9, Trans 11 and Trans 10, Cis 12 isomers; its two primary components."
Clearfiber,21220,Invisible Fiber …Visible Benefits!,"ClearFiber contains clinically tested partially hydrolyzed guar gum that has numerous health benefits. For example, guar gum supports healthy cholesterol and triglyceride levels as well as digestive system functioning. ClearFiber dissolves clearly with no grit or thickening. It mixes easily into most foods and beverages without adding any taste. ClearFiber is an easy and convenient way to increase dietary fiber intake."
Coconut Oil,45219,"Cold-Pressed, Hexane Free, Pure & Unrefined","Coconut oil has many health benefits and is a great source of medium-chain triglycerides (MCTs). MCTs have been shown to support gut and immune health as well as healthy weight management. In addition, MCTs are a source of quick energy, which is especially helpful for cognitive function. Pathway Coconut Oil is cold-pressed, hexane free, unrefined, organic, and non-GMO, which are key features to look for when buying the highest quality coconut oil."
Coenzyme Q10 100 Mg,2682,Contains Rice Bran Oil for Enhanced Absorption,"CoQ10 is a biologically active quinone found in every cell of the body, and is essential to production of energy at the cellular level. CoQ10 has been shown to support cardiovascular health and is recommended when taking cholesterol-lowering medications (statins). Pathway Coenzyme Q10 is delivered in an oil based softgel, which has been shown to enhance its bioavailability."
Coenzyme Q10 100 Mg,19387,Contains Rice Bran Oil for Enhanced Absorption,"CoQ10 is a biologically active quinone found in every cell of the body, and is essential to production of energy at the cellular level. CoQ10 has been shown to support cardiovascular health and is recommended when taking cholesterol-lowering medications (statins). Pathway Coenzyme Q10 is delivered in an oil based softgel, which has been shown to enhance its bioavailability."
Coenzyme Q10 200 Mg,19349,Contains Rice Bran Oil for Enhanced Absorption,"CoQ10 is a biologically active quinone found in every cell of the body, and is essential to production of energy at the cellular level. CoQ10 has been shown to support cardiovascular health and is recommended when taking cholesterol-lowering medications (statins). Pathway Coenzyme Q10 is delivered in an oil based softgel, which has been shown to enhance its bioavailability."
Coenzyme Q10 200 Mg,19350,Contains Rice Bran Oil for Enhanced Absorption,"CoQ10 is a biologically active quinone found in every cell of the body, and is essential to production of energy at the cellular level. CoQ10 has been shown to support cardiovascular health and is recommended when taking cholesterol-lowering medications (statins). Pathway Coenzyme Q10 is delivered in an oil based softgel, which has been shown to enhance its bioavailability."
Cold And Sinus Blaster,23371,Fast and Powerful Support,"Pathway COLD AND SINUS BLASTER is designed to provide immediate relief for sinus and nasal congestion. This unique herbal formula also stimulates and supports the immune system. Several key ingredients include Horseradish, Echinacea, Elderberry, Garlic, Peppermint oil, and Goldenseal."
Collagen Peptides,48238,Collagen Peptides Powder - Supports Connective Tissue Health,"Collagen is the most abundant protein in the body, and is the main component of connective tissue. It helps preserve the elastin in skin, which helps skin stay toned and supple. Collagen also gives tendons and ligaments their toughness. As we age, our body begins to produce less collagen. Collagen Peptides Powder is rich in the amino acids glycine, proline, hydroxyproline, and alanine which help support collagen synthesis in our body, helping to strengthen and preserve joints and skin."
Colloidal Silver,51103,,"Since ancient times, silver has been revered for its immune supportive and wound healing properties. As a supplement, colloidal silver is a safe and non-toxic formula that provides tiny particles of silver, suspended in purified water. Each serving provides 10 ppm of silver."
Colloidal Silver Plus,22890,Supports Immune Health,"Pathway Colloidal Silver Plus combines the immune supportive properties of 3 well known and widely used natural substances: colloidal silver, olive leaf, and oregano oil. These ingredients exhibit powerful immune supportive capabilities."
Colon Health Probiotic,45175,50 Billion Probiotic,"Pathway Colon Health is a high potency probiotic formula that contains two carefully selected strains shown to support digestive health. B. lactis B1-04 is largely found in the colon and supports immunity, allergies, antibiotic associated diarrhea, and reduces intestinal permeability. L. acidophilus (La-14) ferments carbohydrates to produce lactic acid, which enhances the absorption and bioavailability of minerals. And, lactic acid also creates a hospitable environment for harmful bacteria, such as E. coli. Prebiotic ingredients are also included to support the growth of beneficial flora."
Congest-Eeze,22876,Supports Respiratory Health,"These liquid filled vegetarian capsules offer respiratory support for those who suffer from congestion, colds, asthma, and recurring lung congestion. CongestEeze contains fresh Osha, Lomatium, Yerba santa leaf, garlic, mullein thyme, licorice, oregan grape root, Echinacea, Ginger, Oregano and Wild Cherry; all of which provide respiratory support. CongestEeze helps maintain respiratory health and supports lung immunity."
Cordyceps Mushroom Organic,51219,,"Cordyceps (Cordyceps sinensis) mushrooms have a long history of use for helping with aging, boosting strength, and reducing fatigue. Research shows that Cordyceps may increase energy and endurance, support healthy blood sugar levels, promote a healthy inflammatory response, support liver health, and help the body manage stress."
Cranberry Concentrate,22443,Supports Bladder Health,"Cranberry fruit supports urinary tract health by preventing the adhesion of harmful bacteria in the bladder. Pathway Cranberry is concentrated to provide the equivalent of 34 pounds of whole cranberries in each pound of cranberry powder. The cranberry powder consist of 100% cranberry fruit solids and contains a perfect balance of naturally occurring organic acids in their synergistic ratios, and contains no sugar."
Creatine MONOHYDRATE POWDER,112,Energy and Endurance Booster,"Creatine is needed in muscles for the body to be able to produce energy. During intense exercise, muscle is fueled by a substance called ATP (adenosine triphosphate) because the body stores only a limited supply of this, it must be continuously replenished during intense exercise. By supplementing with creatine monohydrate (the substance that the body uses to produce ATP), energy is produced at a faster rate allowing the muscles to perform more efficiently. Our Creatine Monohydrate Powder contains 100% pure Creatine Monohydrate. Each batch is tested by High Performance Liquid Chromotography (HPLC) or Capillary Electrophoresis (CE) to guarantee quality and purity."
Creme De Femme,2683,Helps Support You Through Menopause,"Pathway Crème De Femme provides natural progesterone in an easy to use pump. The cream may be applied wherever the capillaries are close to the surface - the face, neck, palms of the hands, soles of the feet, wrists, and behind the knee. Crème De Femme is paraben free and contains natural ingredients. 4 pumps equal 20 mg of progesterone (each pump is 4 mg)."
Curcumin C3 Complex,38825,,"Pathway Curcumin C3 Complex features clinically studied, patented standardized extracts of Curcumin C3 Complex and BioPerine (black pepper extract). Curcumin C3 Complex is considered the most trusted Curcumin extract available and has a wide range of health benefits. It contains a blend of the three main active curcuminoids shown to exhibit antioxidant, anti-inflammatory, and immune supportive properties. BioPerine is included in this formula to enhance the absorption of curcumin. More than 73 studies have been published using Curcumin C3 Complex alone or in combination with BioPerine."
Digase,2686,Helps Encourage Proper Digestion with Pure Plant Enzymes,"Pathway Digase contains the full complement of hydrolytic enzymes; providing Protease, Amylase, Lipase, Cellulase, Lactase, and Glucoamylase complemented by Gentian root, Caraway seed, and Ginger root to support digestion. This unique and exclusive product is specially formulated to provide as much as 80% of the digestive power needed to digest the typical meal."
