-,Date of Interview,Show #,Title,Video Sent to Tori (David),Video Back from Tori (David),Video Sent to Takeshi (David),Audio Back from Takeshi (David),"Transcribed (Long) 
(Kim)","Transcribed (Short) 
(Kim)",Long Transcript Proofed & Word doc (Margaret),Infographic Text Created (Margo & Margaret),Infographic Text Sent to Natalia (Margo),Infographic Back from Natalia (Michele?),"Infographic Proofed/ Edited 
(M, M & M)",Posted on Web (Michele or Margaret),Social Content created by Andrea (Deborah),Content Shared with Guest (Deborah),Content Shared on Our Social Media (Deborah),Tags including: #humanized #humanizedhealth #humanizedpodcast #yourhealthpersonlized #villagegreenapothecary #myvillagegreen @village_green_apothecary  (April),Invitation Sent to Schedule Next Recording(s) (April) ,Reminder Email Sent to Schedule Next Recording (April)
"Murray, Michael",8/10,4,What is Non-Alcoholic Fatty Liver Disease? ,yes,8/20,yes,8/26,10/14,10/14,10/14,11/8,11/12,11/22,11/22,12/13,,1/28/22,,"humanized,village green apothecary,myvillagegreen,Michael Murray, ND, non-alcoholic fatty liver, liver",,
"O'Bryan, Tom",3/18,1,Strategies to Improve Your Brain Health,yes,yes,yes,6/11,4/26,4/26,5/18,4/28,5/7,5/18,5/18,6/21,,7/7/21,,Dr. Tom O'Bryan provides strategies on how to improve brain health such as removing environmental toxins and reducing inflammation. #brainhealth #glutensensitivity #inflammation #braininflammation #phthalates,,
"O'Bryan, Tom",3/18,2,Immune Health,yes,yes,yes,6/11,4/30,5/9,5/19,5/7,5/7,5/9,5/18,6/28,,9/7/21,,"Immune Health,immune,health,o'bryan,tom o'bryan,humanized,village green apothecary,myvillagegreen",,
"O'Bryan, Tom",8/12,3,Personalized Approach to Microbiome Health,yes,8/30,yes,9/4,9/8,9/9,9/8,9/9,9/16,9/24,9/27,10/11,,1/26/22,,"humanized,village green apothecary,myvillagegreen,Tom O’Bryan, microbiome, gut health, digestion, digestive, inflammation,",,
"O'Bryan, Tom",8/12,4,The Gut/Brain Connection,yes,8/31,yes,9/4,9/8,9/8,9/8,9/9,9/16,9/24,9/27,11/22,,1/26/22,,"humanized,village green apothecary,myvillagegreen,Tom O’Bryan, DC, gut health, brain health, microbiome",,
"O'Bryan, Tom",8/12,5,Functional Lab Testing For GI Health,yes,9/1,yes,9/4,9/16,9/16,9/16,11/4,11/12,11/22,11/22,1/3,,1/26/22,,"humanized,village green apothecary,myvillagegreen,Tom O’Bryan, DC, diabetes, Digestive Health, Gut Health, Functional Lab Testing",,
"Pizzorno, Joseph",2/18,1,The Consequences of Chemically Grown Food,yes,yes,yes,yes,yes,yes,4/12,yes,yes,yes,yes,yes,6/2/21,6/2/21,,Dr. Pizzorno discusses the consequences of consuming chemically grown food and how to limit our exposure. #chemicallygrownfood #gmo @pizzornojoseph,6/13,
"Pizzorno, Joseph",2/18,2,Everyday Detox Strategies for a Healthy Life,yes,yes,yes,yes,4/12,4/13,4/21,yes,5/7,5/9,5/18,yes,6/14,6/14,,Dr. Pizzorno discusses everyday detox strategies for living a healthy life such as ways to prevents toxins from coming in and supporting the body's detox pathways.#detox #detoxstrategies #eatorganic #detoxpathways @pizzornojoseph,6/13,
"Pizzorno, Joseph",8/3,3,Unimportant Molecules ,8/5,8/12,8/12,9/2,9/9,9/7,9/9,9/9,9/16,9/24,9/27,10/18,,6/2/21,,"humanized,village green apothecary,myvillagegreen,Joseph Pizzorno, ND,organic, gmo, non-gmo, genetically modified, nutrtion,",,
"Roberts, Courtney",9/30,1,Benefits of Herbal Compounding for GI Health ,10/2,10/6,10/7,10/11,10/27,10/27,10/27,11/4,11/12,11/22,11/22,11/29,,1/26/22,,"humanized,village green apothecary,myvillagegreen,Courtney Roberts, ND,GI health, digestive, digestion, compounding, herbal, gut health,",,
"Vermeire, Brendan",7/1,1,Introduction to OAT: Organic Acid Testing,yes,7/8,7/14,7/19,7/14 ML,7/14 ML,7/14,7/15,---,7/15 in-house,7/15,7/20,,8/5/21,,"Functional Lab Testing, Functional Medicine, Brendan Vermeire,myvillagegreen,Village Green Apothecary,Humanized,humanized health",,
"Vermeire, Brendan",7/1,2,Chronic Inflammation: An Underlying Theme in Many Health Conditions,yes,7/8,yes,7/19,7/15 ML,7/15 ML,7/15,7/27,7/30,8/2,8/2,8/2,,1/26/22,,"humanized,village green apothecary,myvillagegreen,Brendan Vermeire, inflammation, mental health",,
"Vermeire, Brendan",12/7,3,"Microglial Activation & Mental Health Dysfunction
",12/8,12/9,12/8,12/15,,,,,,,,,,,,,,
"Vermeire, Brendan",12/7,4,Gut-Brain Axis Dysfunction & the Mental M.A.P.™️,12/8,12/16,12/8,12/31,,,,,,,,,,,,,,
"Williamson, Chrissie ",7/15,1,Personalizing Health Through an Understanding of Genetics,yes,7/28,yes,8/5,8/4,8/4,8/4,8/5,3/30,8/22,8/23,8/23,,9/21/21,,"humanized,village green apothecary,myvillagegreen,Chrissie Williamson, genetics, genomics, epigenetics",,
"Williamson, Chrissie ",7/15,2,Going Beyond Traditional Medical Testing Using Nutritional Genomics,yes,8/3,yes,8/5,8/4,8/4,8/4,8/5,3/30,8/22,8/23,10/25,,1/26/22,,"humanized,village green apothecary,myvillagegreen,Chrissie Williamson, PhD,nutrition,diet, genetics,genomics,functional lab testing,",,
"Williamson, Chrissie ",12/7,3,Your Genes & Weight Management,12/21,2/4,2/4,,,,,,,,,,,,,,,
"Winters, Nasha",4/20,1,Introduction to the Terrain Ten,yes,yes,yes,7/3,6/9 ML,6/9 ML,6/9,6/10,6/28,6/28,6/28,7/5,,8/5/21,,"terrain ten,winters,nasha winters,immune,epigenetics,humanized,village green apothecary,myvillagegreen,inflammation,detox",,
"Winters, Nasha",1/18,2,Mistletoe & Integrative Oncology,1/20,2/4,2/4,,,,,,,,,,,,,,,
       ,1/18,3,Transforming Cancer Care & Prevention ,1/20,2/4,2/4,,,,,,,,,,,,,,,
"Wszelaki, Magdalena",2/25,1,Overcoming Estrogen Dominance,yes,yes,yes,yes,3/22,4/7,4/29,yes,yes,yes,yes,yes,6/14/21,6/14/21,,"Magdalena discusses the prevalance of estrogen dominance,what it is, and ways to overcome it through proper diet and nutrition. #womenshealth #estrogendominance #hormonebalance #hormoneimbalance #pms @hormonebalance 
",6/18,
"Wszelaki, Magdalena",8/5,2,Fibroids: How to Shrink Them Naturally ,8/5,8/12,8/12,8/25,8/25,8/12,8/25,8/13,820,8/22,8/23,8/30,,9/21/21,,"humanized,village green apothecary,myvillagegreen,Magdalena Wszelaki, fibroids, women's health,estrogen dominance",,
